[09/Jul/2024:09:05:30 +0000] - 200 200 - HEAD https proxy.vpro.holadmexbob.online "/" [Client 195.211.77.140] [Length 0] [Gzip -] [Sent-to nginx-proxy] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "-"
[09/Jul/2024:09:05:41 +0000] - - 301 - GET https www.proxy.vpro.holadmexbob.online "/" [Client 139.162.155.225] [Length 166] [Gzip -] [Sent-to nginx-proxy] "-" "-"
[09/Jul/2024:09:05:41 +0000] - - 301 - GET http www.proxy.vpro.holadmexbob.online "/" [Client 159.89.17.243] [Length 166] [Gzip -] [Sent-to nginx-proxy] "-" "-"
[09/Jul/2024:09:05:41 +0000] - - 301 - GET http www.proxy.vpro.holadmexbob.online "/" [Client 159.89.17.243] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Mozilla/5.0 (Linux; Android 6.0; HTC One M9 Build/MRA04659) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.9113.98 Mobile Safari/537.3" "-"
[09/Jul/2024:09:05:41 +0000] - - 301 - GET http www.proxy.vpro.holadmexbob.online "/server" [Client 159.89.17.243] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Go-http-client/1.1" "-"
[09/Jul/2024:09:05:42 +0000] - - 301 - GET http www.proxy.vpro.holadmexbob.online "/.vscode/sftp.json" [Client 159.89.17.243] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Go-http-client/1.1" "-"
[09/Jul/2024:09:05:42 +0000] - - 301 - GET http www.proxy.vpro.holadmexbob.online "/about" [Client 159.89.17.243] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Go-http-client/1.1" "-"
[09/Jul/2024:09:05:42 +0000] - - 301 - GET http www.proxy.vpro.holadmexbob.online "/debug/default/view?panel=config" [Client 159.89.17.243] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Go-http-client/1.1" "-"
[09/Jul/2024:09:05:42 +0000] - - 301 - GET http www.proxy.vpro.holadmexbob.online "/v2/_catalog" [Client 159.89.17.243] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Go-http-client/1.1" "-"
[09/Jul/2024:09:05:42 +0000] - - 301 - GET http www.proxy.vpro.holadmexbob.online "/ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application" [Client 159.89.17.243] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Go-http-client/1.1" "-"
[09/Jul/2024:09:05:43 +0000] - - 301 - GET http www.proxy.vpro.holadmexbob.online "/server-status" [Client 159.89.17.243] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Go-http-client/1.1" "-"
[09/Jul/2024:09:05:43 +0000] - - 301 - GET http www.proxy.vpro.holadmexbob.online "/login.action" [Client 159.89.17.243] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Go-http-client/1.1" "-"
[09/Jul/2024:09:05:43 +0000] - - 301 - GET http www.proxy.vpro.holadmexbob.online "/_all_dbs" [Client 159.89.17.243] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Mozilla/5.0 (l9scan/2.0.530313e20393e21383e24353; +https://leakix.net)" "-"
[09/Jul/2024:09:05:43 +0000] - - 301 - GET https www.proxy.vpro.holadmexbob.online "/" [Client 139.162.155.225] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Mozilla/5.0 (Linux; Android 6.0; HTC One M9 Build/MRA04659) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.9113.98 Mobile Safari/537.3" "-"
[09/Jul/2024:09:05:43 +0000] - - 301 - GET http www.proxy.vpro.holadmexbob.online "/.DS_Store" [Client 159.89.17.243] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Go-http-client/1.1" "-"
[09/Jul/2024:09:05:43 +0000] - - 301 - GET http www.proxy.vpro.holadmexbob.online "/.env" [Client 159.89.17.243] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Go-http-client/1.1" "-"
[09/Jul/2024:09:05:43 +0000] - - 301 - GET https www.proxy.vpro.holadmexbob.online "/server" [Client 139.162.155.225] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Go-http-client/1.1" "-"
[09/Jul/2024:09:05:44 +0000] - - 301 - GET http www.proxy.vpro.holadmexbob.online "/.git/config" [Client 159.89.17.243] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Go-http-client/1.1" "-"
[09/Jul/2024:09:05:44 +0000] - - 301 - GET https www.proxy.vpro.holadmexbob.online "/.vscode/sftp.json" [Client 139.162.155.225] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Go-http-client/1.1" "-"
[09/Jul/2024:09:05:44 +0000] - - 301 - GET http www.proxy.vpro.holadmexbob.online "/s/530313e20393e21383e24353/_/;/META-INF/maven/com.atlassian.jira/jira-webapp-dist/pom.properties" [Client 159.89.17.243] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Go-http-client/1.1" "-"
[09/Jul/2024:09:05:44 +0000] - - 301 - GET http www.proxy.vpro.holadmexbob.online "/config.json" [Client 159.89.17.243] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Go-http-client/1.1" "-"
[09/Jul/2024:09:05:44 +0000] - - 301 - GET https www.proxy.vpro.holadmexbob.online "/about" [Client 139.162.155.225] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Go-http-client/1.1" "-"
[09/Jul/2024:09:05:44 +0000] - - 301 - GET http www.proxy.vpro.holadmexbob.online "/telescope/requests" [Client 159.89.17.243] [Length 166] [Gzip -] [Sent-to nginx-proxy] "Go-http-client/1.1" "-"
